instruct,answer,Conditions,Offers
Suggest a Dell laptop with 16GB RAM and 1TB SSD.,"Name: Dell ExpertBook 2390, Category: General Use, Price: 97373 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Delivery
Suggest a Acer laptop with 8GB RAM and 128GB SSD.,"Name: Acer ExpertBook 2391, Category: General Use, Price: 63952 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 2392, Category: General Use, Price: 137834 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2393, Category: General Use, Price: 96481 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 2394, Category: General Use, Price: 45218 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 4GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2395, Category: General Use, Price: 70837 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2396, Category: General Use, Price: 95463 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,No discount
Suggest a Acer laptop with 8GB RAM and 128GB SSD.,"Name: Acer ExpertBook 2397, Category: General Use, Price: 137090 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 2398, Category: General Use, Price: 75063 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 12GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2399, Category: General Use, Price: 145772 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2400, Category: General Use, Price: 139356 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2401, Category: General Use, Price: 84265 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Up to 5% Discount
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2402, Category: General Use, Price: 128825 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,No discount
Suggest a HP laptop with 4GB RAM and 256GB SSD.,"Name: HP ExpertBook 2403, Category: General Use, Price: 106074 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Delivery
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2404, Category: General Use, Price: 107676 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 2405, Category: General Use, Price: 131894 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2406, Category: General Use, Price: 58540 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Acer laptop with 8GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2407, Category: General Use, Price: 73607 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 2408, Category: General Use, Price: 68832 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Brand New,Free Gaming Mouse
Suggest a Dell laptop with 8GB RAM and 1TB SSD.,"Name: Dell ExpertBook 2409, Category: General Use, Price: 118599 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,0% EMI on selected cards
Suggest a ASUS laptop with 12GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2410, Category: General Use, Price: 146697 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a HP laptop with 12GB RAM and 1TB SSD.,"Name: HP ExpertBook 2411, Category: General Use, Price: 102508 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,Battery Replacement Support
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2412, Category: General Use, Price: 69097 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2413, Category: General Use, Price: 144639 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,No discount
Suggest a MSI laptop with 8GB RAM and 256GB SSD.,"Name: MSI ExpertBook 2414, Category: General Use, Price: 101531 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Travel Pouch
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2415, Category: General Use, Price: 113956 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Cashback ৳2000
Suggest a ASUS laptop with 12GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2416, Category: General Use, Price: 93619 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,No discount
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 2417, Category: General Use, Price: 90853 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Up to 5% Discount
Suggest a Apple laptop with 16GB RAM and 1TB SSD.,"Name: Apple ExpertBook 2418, Category: General Use, Price: 102818 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2419, Category: General Use, Price: 61288 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 2420, Category: General Use, Price: 90061 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a LG laptop with 8GB RAM and 256GB SSD.,"Name: LG ExpertBook 2421, Category: General Use, Price: 60371 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Discount ৳1500
Suggest a MSI laptop with 4GB RAM and 256GB SSD.,"Name: MSI ExpertBook 2422, Category: General Use, Price: 97234 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 2423, Category: General Use, Price: 46076 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 2424, Category: General Use, Price: 86311 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Gaming Mouse
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 2425, Category: General Use, Price: 143219 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a LG laptop with 16GB RAM and 1TB SSD.,"Name: LG ExpertBook 2426, Category: General Use, Price: 140880 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Acer laptop with 4GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2427, Category: General Use, Price: 97397 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2428, Category: General Use, Price: 61100 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Dell laptop with 16GB RAM and 256GB SSD.,"Name: Dell ExpertBook 2429, Category: General Use, Price: 63786 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,No discount
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 2430, Category: General Use, Price: 72291 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2431, Category: General Use, Price: 48913 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,Discount ৳1500
Suggest a ASUS laptop with 8GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2432, Category: General Use, Price: 147909 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 2433, Category: General Use, Price: 122253 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2434, Category: General Use, Price: 125355 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 2435, Category: General Use, Price: 91804 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 2436, Category: General Use, Price: 133422 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a ASUS laptop with 4GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2437, Category: General Use, Price: 53811 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 2438, Category: General Use, Price: 114989 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2439, Category: General Use, Price: 65016 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 2440, Category: General Use, Price: 111173 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a Apple laptop with 4GB RAM and 256GB SSD.,"Name: Apple ExpertBook 2441, Category: General Use, Price: 119034 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Up to 5% Discount
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2442, Category: General Use, Price: 107889 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2443, Category: General Use, Price: 147881 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 2444, Category: General Use, Price: 140402 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2445, Category: General Use, Price: 107022 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a LG laptop with 8GB RAM and 256GB SSD.,"Name: LG ExpertBook 2446, Category: General Use, Price: 111349 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 2447, Category: General Use, Price: 123826 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a Apple laptop with 16GB RAM and 512GB SSD.,"Name: Apple ExpertBook 2448, Category: General Use, Price: 133190 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Backpack
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2449, Category: General Use, Price: 117366 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a Acer laptop with 4GB RAM and 128GB SSD.,"Name: Acer ExpertBook 2450, Category: General Use, Price: 61908 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 2451, Category: General Use, Price: 46718 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a Dell laptop with 16GB RAM and 1TB SSD.,"Name: Dell ExpertBook 2452, Category: General Use, Price: 94330 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Acer laptop with 16GB RAM and 128GB SSD.,"Name: Acer ExpertBook 2453, Category: General Use, Price: 90085 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 256GB SSD.,"Name: MSI ExpertBook 2454, Category: General Use, Price: 50840 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 8GB RAM and 256GB SSD.,"Name: Acer ExpertBook 2455, Category: General Use, Price: 61367 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2456, Category: General Use, Price: 60465 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2457, Category: General Use, Price: 139957 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Battery Replacement Support
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2458, Category: General Use, Price: 79692 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2459, Category: General Use, Price: 69483 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Laptop Bag
Suggest a Dell laptop with 8GB RAM and 1TB SSD.,"Name: Dell ExpertBook 2460, Category: General Use, Price: 144331 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 2461, Category: General Use, Price: 136626 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Discount ৳1500
Suggest a ASUS laptop with 8GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2462, Category: General Use, Price: 144765 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,No discount
Suggest a LG laptop with 8GB RAM and 1TB SSD.,"Name: LG ExpertBook 2463, Category: General Use, Price: 123496 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Cashback ৳2000
